CME_ID,t0,dt0_h,pa_deg,da_deg,v_km_s,dv_km_s,minv_km_s,maxv_km_s,halo
0066,2022-03-19 15:12:00,1.0,129.0,24.0,161.0,14.0,143.0,191.0,
0067,2022-03-20 09:24:00,3.0,35.0,40.0,115.0,29.0,106.0,201.0,
0068,2022-03-20 13:48:00,6.0,95.0,72.0,156.0,129.0,121.0,504.0,
0069,2022-03-21 06:00:00,6.0,245.0,168.0,726.0,170.0,381.0,1116.0,II
0070,2022-03-21 06:00:00,1.0,191.0,16.0,469.0,115.0,264.0,508.0,
0071,2022-03-21 06:48:00,1.0,54.0,30.0,625.0,8.0,612.0,637.0,
0072,2022-03-21 08:24:00,1.0,175.0,8.0,368.0,19.0,343.0,390.0,
0073,2022-03-22 18:48:00,5.0,56.0,58.0,218.0,18.0,172.0,245.0,
0074,2022-03-23 03:24:00,2.0,27.0,8.0,322.0,54.0,244.0,400.0,
0075,2022-03-23 07:00:00,1.0,28.0,6.0,168.0,35.0,104.0,194.0,
0076,2022-03-23 08:36:00,1.0,117.0,12.0,1131.0,328.0,762.0,1562.0,
0077,2022-03-23 15:16:00,0.0,240.0,10.0,250.0,4.0,247.0,259.0,
0078,2022-03-23 17:48:00,2.0,108.0,14.0,733.0,334.0,339.0,1302.0,
0079,2022-03-23 20:36:00,2.0,68.0,6.0,194.0,62.0,124.0,297.0,
0080,2022-03-24 02:24:00,2.0,65.0,8.0,223.0,53.0,142.0,297.0,
0081,2022-03-25 05:36:00,1.0,126.0,30.0,451.0,50.0,328.0,508.0,
0082,2022-03-25 05:36:00,1.0,37.0,28.0,404.0,75.0,303.0,568.0,
0083,2022-03-25 05:36:00,0.0,79.0,16.0,440.0,8.0,434.0,452.0,
0084,2022-03-25 11:00:00,1.0,102.0,10.0,1059.0,270.0,762.0,1420.0,
0085,2022-03-25 22:00:00,3.0,77.0,32.0,336.0,128.0,162.0,520.0,
0086,2022-03-26 21:36:00,3.0,301.0,56.0,194.0,37.0,126.0,246.0,
0087,2022-03-26 22:12:00,1.0,242.0,6.0,536.0,260.0,150.0,868.0,
0088,2022-03-27 19:36:00,1.0,122.0,22.0,253.0,55.0,192.0,388.0,
0089,2022-03-28 00:00:00,3.0,117.0,48.0,306.0,171.0,163.0,791.0,
0090,2022-03-28 12:00:00,2.0,302.0,150.0,347.0,57.0,221.0,473.0,II
0091,2022-03-28 12:36:00,2.0,254.0,22.0,209.0,16.0,190.0,238.0,
0092,2022-03-28 20:00:00,1.0,85.0,28.0,416.0,88.0,237.0,512.0,
0093,2022-03-28 20:24:00,2.0,303.0,164.0,520.0,54.0,411.0,651.0,II
0094,2022-03-28 20:48:00,1.0,273.0,8.0,331.0,48.0,303.0,422.0,
0095,2022-03-30 06:24:00,2.0,87.0,232.0,456.0,140.0,189.0,822.0,III
0096,2022-03-30 06:24:00,4.0,39.0,32.0,933.0,410.0,512.0,1952.0,
0097,2022-03-30 07:00:00,0.0,274.0,10.0,584.0,74.0,534.0,714.0,
0098,2022-03-30 07:00:00,1.0,262.0,22.0,1047.0,469.0,480.0,1735.0,
0099,2022-03-30 07:36:00,1.0,228.0,26.0,452.0,231.0,345.0,1157.0,
0100,2022-03-30 07:36:00,1.0,309.0,16.0,710.0,484.0,612.0,1562.0,
0101,2022-03-30 07:36:00,1.0,244.0,14.0,1630.0,687.0,362.0,1893.0,
0102,2022-03-30 07:48:00,1.0,209.0,16.0,1562.0,595.0,337.0,1785.0,
0103,2022-03-30 08:00:00,1.0,105.0,12.0,153.0,53.0,150.0,256.0,
0104,2022-03-30 18:00:00,1.0,278.0,138.0,577.0,134.0,312.0,919.0,II
0105,2022-03-30 18:12:00,2.0,130.0,18.0,332.0,78.0,199.0,434.0,
0106,2022-03-30 20:36:00,1.0,240.0,6.0,340.0,119.0,234.0,492.0,
0107,2022-03-31 03:36:00,2.0,140.0,90.0,253.0,32.0,189.0,292.0,
0108,2022-03-31 03:36:00,1.0,152.0,6.0,212.0,50.0,200.0,312.0,
0109,2022-03-31 03:36:00,2.0,124.0,30.0,260.0,63.0,187.0,336.0,
0110,2022-03-31 03:36:00,1.0,155.0,8.0,304.0,369.0,264.0,905.0,
0111,2022-03-31 09:24:00,1.0,241.0,12.0,283.0,75.0,208.0,411.0,
0112,2022-03-31 23:48:00,0.0,82.0,10.0,1787.0,177.0,1487.0,1837.0,
0001,2022-04-01 01:24:00,0.0,311.0,24.0,919.0,530.0,743.0,1736.0,
0002,2022-04-01 01:24:00,1.0,128.0,14.0,428.0,771.0,260.0,1736.0,
0003,2022-04-01 01:24:00,1.0,58.0,34.0,184.0,23.0,140.0,223.0,
0004,2022-04-01 18:12:00,1.0,295.0,8.0,508.0,657.0,440.0,1601.0,
0005,2022-04-02 03:24:00,1.0,121.0,20.0,205.0,28.0,163.0,249.0,
